,Date,Unix,Ticker,DE_Ratio,Price,StockPChange,SP500,SPPChange
0,2004-01-30 19:01:02,1075518062.0,A,0.407,36.65,0.0,1131.130005,0.0
1,2004-04-13 04:07:11,1081854431.0,A,0.375,31.87,-13.0422919509,1129.439941,-0.149413771408
2,2004-12-13 21:37:34,1103002654.0,A,0.323,23.84,-34.9522510232,1198.680054,5.97190850755
3,2005-01-22 05:17:19,1106399839.0,A,0.322,21.8,-40.5184174625,1184.630005,4.72978346994
4,2006-01-09 02:35:16,1136802916.0,A,0.0,34.65,-5.45702592087,1290.150024,14.0585094814
5,2006-06-21 11:01:16,1150912876.0,A,0.368,32.18,-12.1964529332,1252.199951,10.7034510149
6,2006-08-19 10:42:01,1156009321.0,A,0.396,31.8,-13.2332878581,1295.430054,14.5253019789
7,2007-02-20 17:46:56,1172022416.0,A,0.411,32.48,-11.377899045,1459.680054,29.0461792674
8,2007-04-12 05:07:51,1176379671.0,A,0.411,34.62,-5.53888130969,1447.800049,27.9959016736
9,2008-01-23 19:28:50,1201145330.0,A,0.645,32.16,-12.2510231924,1338.599976,18.3418325111
10,2008-02-14 04:44:34,1202993074.0,A,0.645,32.68,-10.8321964529,1348.859985,19.248890847
11,2008-04-26 04:49:23,1209210563.0,A,0.67,31.53,-13.9699863574,1379.930054,21.9957076464
12,2008-12-06 19:21:33,1228620093.0,A,0.83,17.26,-52.9058663029,870.73999,-23.0203437137
13,2011-08-02 06:45:37,1312292737.0,A,54.36,40.79,11.2960436562,1254.050049,10.867012939
14,2011-11-08 05:04:16,1320757456.0,A,51.62,37.74,2.97407912688,1275.920044,12.8004772537
15,2013-05-14 00:28:58,1368516538.0,A,44.12,43.04,17.4351978172,1650.339966,45.9018820741
16,2013-09-06 06:09:52,1378472992.0,A,56.39,47.68,30.0954979536,1655.170044,46.3288955897
17,2004-04-13 04:20:10,1081855210.0,AA,0.595,34.26,0.0,1129.439941,0.0
18,2004-09-09 16:15:45,1094771745.0,AA,0.561,32.89,-3.99883245768,1118.380005,-0.979240736803
19,2004-11-24 10:37:20,1101321440.0,AA,0.53,33.58,-1.9848219498,1181.76001,4.63239054161
20,2004-12-05 00:36:42,1102235802.0,AA,0.53,32.86,-4.08639813193,1190.329956,5.39116891387
21,2005-01-13 07:18:32,1105629512.0,AA,0.457,29.43,-14.0980735552,1177.449951,4.25078025464
22,2005-02-07 03:48:37,1107776917.0,AA,0.457,29.37,-14.2732049037,1201.719971,6.39963466636
23,2005-05-22 08:48:23,1116776903.0,AA,0.543,27.45,-19.877408056,1191.079956,5.45757350722
24,2006-06-20 04:32:21,1150803141.0,AA,0.526,29.1,-15.061295972,1240.119995,9.79955197104
25,2007-01-25 19:09:37,1169780977.0,AA,0.494,31.46,-8.17279626386,1423.900024,26.0713360942
26,2007-02-23 09:03:42,1172250222.0,AA,0.494,34.75,1.43023934618,1451.189941,28.4875705489
27,2007-05-16 21:12:47,1179375167.0,AA,0.494,39.04,13.9521307647,1514.140015,34.0611359697
28,2007-06-22 06:39:12,1182519552.0,AA,0.503,40.34,17.7466433158,1502.560059,33.035852944
29,2007-10-11 20:57:59,1192161479.0,AA,0.47,38.08,11.1500291886,1554.410034,37.6266216178
30,2008-01-23 16:05:53,1201133153.0,AA,0.499,28.04,-18.155283129,1338.599976,18.5189160935
31,2008-10-28 00:52:22,1225180342.0,AA,0.672,9.04,-73.613543491,940.51001,-16.727753654
32,2008-12-05 01:03:15,1228467795.0,AA,0.672,8.06,-76.4740221833,876.070007,-22.4332365806
33,2008-12-06 09:33:46,1228584826.0,AA,0.672,8.15,-76.2113251605,870.73999,-22.9051533958
34,2008-12-18 10:54:07,1229626447.0,AA,0.672,10.35,-69.7898423818,885.280029,-21.6177862263
35,2011-09-03 09:21:23,1315066883.0,AA,48.26,12.04,-64.8569760654,1218.890015,7.91986105262
36,2011-11-02 22:04:47,1320296687.0,AA,50.93,10.7,-68.7682428488,1237.900024,9.60299694236
37,2011-11-05 21:29:24,1320553764.0,AA,50.93,10.93,-68.0969060128,1237.900024,9.60299694236
38,2012-01-02 19:42:06,1325562126.0,AA,50.93,8.65,-74.7518972563,1257.599976,11.3472200112
39,2012-03-09 07:34:06,1331307246.0,AA,54.5,9.77,-71.4827787507,1370.869995,21.3760860791
40,2012-03-19 02:24:48,1332149088.0,AA,54.5,10.54,-69.2352597782,1409.75,24.8185006413
41,2012-05-19 11:51:52,1337453512.0,AA,55.28,8.43,-75.3940455342,1324.800049,17.2970780391
42,2012-07-29 16:51:57,1343605917.0,AA,56.42,8.45,-75.335668418,1360.02002,20.4154351754
43,2012-11-27 11:38:14,1354045094.0,AA,56.51,8.31,-75.7443082312,1398.939941,23.8613838786
44,2013-01-22 17:52:37,1358905957.0,AA,53.49,9.16,-73.2632807939,1492.560059,32.150458366
45,2013-04-23 20:02:57,1366772577.0,AA,53.21,8.12,-76.2988908348,1578.780029,39.7843277618
46,2013-04-26 20:55:15,1367034915.0,AA,53.21,8.27,-75.8610624635,1582.23999,40.0906708328
47,2013-09-01 04:25:11,1378034711.0,AA,52.71,7.7,-77.5248102744,1638.170044,45.0426874889
48,2003-12-07 10:36:10,1070822170.0,AAPL,0.072,20.85,0.0,1069.719971,0.0
49,2004-02-03 07:33:34,1075822414.0,AAPL,0.07,22.32,7.05035971223,1136.030029,6.19882397241
